chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr9,22043926,rs1412829,642,0.002606,1.203,CDKN2B-AS1,"stress incontinence, female","Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,389,0.002849,1.249,CDKN2B-AS1,Nephritis; nephrosis; renal sclerosis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,961,0.003054,1.196,CDKN2B-AS1,Atherosclerosis of native arteries of the extremities with intermittent claudication,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,700,0.003168,1.201,CDKN2B-AS1,Other aneurysm,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,644,0.003474,1.191,CDKN2B-AS1,Type 2 diabetic neuropathy,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,524,0.003568,1.237,CDKN2B-AS1,Symptoms involving digestive system,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,5116,0.004224,1.09,CDKN2B-AS1,Cardiac dysrhythmias,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,153,0.004353,1.408,CDKN2B-AS1,Type 2 diabetic peripheral circulatory disorders,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1338,0.004546,1.154,CDKN2B-AS1,Abnormal electrocardiogram,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1252,0.005108,1.138,CDKN2B-AS1,Neurological disorders due to brain damage,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,127,0.005221,1.435,CDKN2B-AS1,Type 1 diabetic ketoacidosis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,1807,0.005245,1.115,CDKN2B-AS1,Chronic airway obstruction,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,137,0.005456,1.421,CDKN2B-AS1,Cardiac arrest & ventricular fibrillation,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,118,0.005556,1.549,CDKN2B-AS1,Chronic lymphocytic thyroiditis,Breast cancer,192
chr9,22098574,rs4977574,194,0.005621,1.336,CDKN2B-AS1,Renal failure NOS,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,220,0.006118,1.349,CDKN2B-AS1,Disorders of penis,Intracranial aneurysm,192
chr9,22098574,rs4977574,880,0.006124,1.158,CDKN2B-AS1,Symptoms involving cardiovascular system,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,152,0.006715,1.377,CDKN2B-AS1,Paraproteinemia,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,576,0.007091,1.204,CDKN2B-AS1,Cardiac pacemaker/device in situ,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,579,0.007128,1.19,CDKN2B-AS1,"Acute, but ill-defined cerebrovascular disease","Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,107,0.007251,1.55,CDKN2B-AS1,Hyperosmolality and/or hypernatremia,Breast cancer,192
chr9,22115959,rs2383207,1948,0.007302,1.105,CDKN2B-AS1,Gastrointestinal hemorrhage,Abdominal aortic aneurysm,192
chr9,22068652,rs4977756,262,0.007997,1.28,CDKN2B-AS1,Acne,"Glaucoma, Glioma",192
chr9,22098574,rs4977574,471,0.008031,1.214,CDKN2B-AS1,Cystitis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,110,0.008577,1.439,CDKN2B-AS1,Ulcerative colitis,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,559,0.008855,1.197,CDKN2B-AS1,Aortic aneurysm,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,535,0.009029,1.197,CDKN2B-AS1,Cystitis and urethritis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,2796,0.009121,1.109,CDKN2B-AS1,Hemorrhoids,Intracranial aneurysm,192
chr9,22083404,rs1333040,262,0.009418,1.27,CDKN2B-AS1,Acne,Intracranial aneurysm,192
chr9,22043926,rs1412829,150,0.009511,1.352,CDKN2B-AS1,Drug-resistant infection,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22068652,rs4977756,206,0.009838,1.301,CDKN2B-AS1,Wheezing,"Glaucoma, Glioma",192
chr9,22115959,rs2383207,262,0.01004,1.27,CDKN2B-AS1,Acne,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,463,0.01122,1.209,CDKN2B-AS1,Atrial flutter,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,154,0.01129,1.424,CDKN2B-AS1,Secondary malignant neoplasm of liver,Breast cancer,192
chr9,22083404,rs1333040,278,0.01155,1.247,CDKN2B-AS1,Protein plasma/amino-acid transport and metabolism disorder,Intracranial aneurysm,192
chr9,22068652,rs4977756,1180,0.01179,1.122,CDKN2B-AS1,Other diseases of lung,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,195,0.01189,1.298,CDKN2B-AS1,Pneumonitis due to inhalation of food or vomitus,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,615,0.01189,1.164,CDKN2B-AS1,Type 1 diabetes,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,404,0.01225,1.228,CDKN2B-AS1,Disorders of conjunctiva,Intracranial aneurysm,192
chr9,22043926,rs1412829,461,0.01233,1.189,CDKN2B-AS1,"Neuralgia, neuritis, and radiculitis NOS","Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,393,0.01235,1.207,CDKN2B-AS1,Aphasia/speech disturbance,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,206,0.01238,1.29,CDKN2B-AS1,Wheezing,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22115959,rs2383207,220,0.01268,1.305,CDKN2B-AS1,Disorders of penis,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,784,0.0128,1.149,CDKN2B-AS1,Peptic ulcer,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,225,0.01304,1.277,CDKN2B-AS1,Other specified erythematous conditions,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22068652,rs4977756,1549,0.01327,1.125,CDKN2B-AS1,Dry eyes,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,1931,0.01385,1.096,CDKN2B-AS1,Non-melanoma skin cancer,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,184,0.01391,1.312,CDKN2B-AS1,Arterial embolism and thrombosis of lower extremity artery,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,1581,0.01414,1.12,CDKN2B-AS1,Other specified cardiac dysrhythmias,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22062134,rs1011970,682,0.01418,1.2,CDKN2B-AS1,Hemorrhage of gastrointestinal tract,Breast cancer,192
chr9,22068652,rs4977756,524,0.01446,1.182,CDKN2B-AS1,Disorders of binocular eye movements,"Glaucoma, Glioma",192
chr9,22083404,rs1333040,682,0.01455,1.155,CDKN2B-AS1,Hemorrhage of gastrointestinal tract,Intracranial aneurysm,192
chr9,22098574,rs4977574,285,0.01459,1.256,CDKN2B-AS1,Atherosclerosis of renal artery,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,206,0.01569,1.282,CDKN2B-AS1,Wheezing,Intracranial aneurysm,192
chr9,22098574,rs4977574,383,0.01615,1.21,CDKN2B-AS1,Arterial embolism and thrombosis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,1507,0.01628,1.124,CDKN2B-AS1,Atherosclerosis of the extremities,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,164,0.01652,1.39,CDKN2B-AS1,Labyrinthitis,Breast cancer,192
chr9,22068652,rs4977756,323,0.01663,1.221,CDKN2B-AS1,"Allergies, other","Glaucoma, Glioma",192
chr9,22115959,rs2383207,338,0.01666,1.214,CDKN2B-AS1,Anal and rectal polyp,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,201,0.01681,1.277,CDKN2B-AS1,E. coli,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,227,0.01712,1.258,CDKN2B-AS1,Plasma protein metabolism disorder,Abdominal aortic aneurysm,192
chr9,22068652,rs4977756,377,0.01714,1.208,CDKN2B-AS1,Strabismus (not specified as paralytic),"Glaucoma, Glioma",192
chr9,22043926,rs1412829,262,0.01744,1.246,CDKN2B-AS1,Acne,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,2013,0.01789,1.106,CDKN2B-AS1,Atherosclerosis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22068652,rs4977756,1481,0.01801,1.111,CDKN2B-AS1,Wheezing and painful respiration,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,169,0.01858,1.302,CDKN2B-AS1,Dermatophytosis of the body,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22043926,rs1412829,1180,0.01896,1.112,CDKN2B-AS1,Other diseases of lung,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,1622,0.01909,1.108,CDKN2B-AS1,Peripheral arterial disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22068652,rs4977756,1807,0.01919,1.097,CDKN2B-AS1,Chronic airway obstruction,"Glaucoma, Glioma",192
chr9,22062134,rs1011970,165,0.01956,1.378,CDKN2B-AS1,Lack of normal physiological development,Breast cancer,192
chr9,22068652,rs4977756,220,0.02003,1.286,CDKN2B-AS1,Disorders of penis,"Glaucoma, Glioma",192
chr9,22068652,rs4977756,266,0.02042,1.23,CDKN2B-AS1,Abnormal loss of weight and underweight,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,271,0.0206,1.265,CDKN2B-AS1,Male genital disorders,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22115959,rs2383207,266,0.02103,1.23,CDKN2B-AS1,Abnormal loss of weight and underweight,Abdominal aortic aneurysm,192
chr9,22068652,rs4977756,2796,0.02126,1.096,CDKN2B-AS1,Hemorrhoids,"Glaucoma, Glioma",192
chr9,22098574,rs4977574,215,0.02194,1.254,CDKN2B-AS1,Acid-base balance disorder,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,118,0.02221,1.362,CDKN2B-AS1,Type 1 diabetic neuropathy,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,156,0.02248,1.312,CDKN2B-AS1,Elevated sedimentation rate,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,681,0.02254,1.147,CDKN2B-AS1,Breast cancer,Intracranial aneurysm,192
chr9,22068652,rs4977756,1503,0.02305,1.098,CDKN2B-AS1,Other arthropathies,"Glaucoma, Glioma",192
chr9,22068652,rs4977756,526,0.02307,1.179,CDKN2B-AS1,Macular puckering of retina,"Glaucoma, Glioma",192
chr9,22062134,rs1011970,166,0.02423,1.364,CDKN2B-AS1,Abnormal coagulation profile,Breast cancer,192
chr9,22115959,rs2383207,413,0.02439,1.177,CDKN2B-AS1,Diseases of hair and hair follicles,Abdominal aortic aneurysm,192
chr9,22043926,rs1412829,1481,0.02445,1.105,CDKN2B-AS1,Wheezing and painful respiration,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22043926,rs1412829,266,0.02472,1.224,CDKN2B-AS1,Abnormal loss of weight and underweight,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22068652,rs4977756,338,0.02485,1.199,CDKN2B-AS1,Anal and rectal polyp,"Glaucoma, Glioma",192
chr9,22068652,rs4977756,1752,0.02501,1.108,CDKN2B-AS1,Disorders of lacrimal system,"Glaucoma, Glioma",192
chr9,22115959,rs2383207,195,0.02505,1.263,CDKN2B-AS1,Pneumonitis due to inhalation of food or vomitus,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,951,0.0252,1.12,CDKN2B-AS1,Transient cerebral ischemia,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,524,0.0253,1.163,CDKN2B-AS1,Disorders of binocular eye movements,Intracranial aneurysm,192
chr9,22098574,rs4977574,1005,0.02627,1.116,CDKN2B-AS1,Cerebral ischemia,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,493,0.02667,1.172,CDKN2B-AS1,Epistaxis or throat hemorrhage,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,1290,0.02716,1.121,CDKN2B-AS1,Cardiac arrhythmia NOS,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,146,0.02739,1.373,CDKN2B-AS1,Pericarditis,Breast cancer,192
chr9,22083404,rs1333040,119,0.0274,1.343,CDKN2B-AS1,Transient alteration of awareness,Intracranial aneurysm,192
chr9,22098574,rs4977574,979,0.02766,1.115,CDKN2B-AS1,Other disorders of circulatory system,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,310,0.02779,1.201,CDKN2B-AS1,Other dyschromia,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,157,0.02787,1.291,CDKN2B-AS1,Delirium due to conditions classified elsewhere,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22068652,rs4977756,693,0.02854,1.155,CDKN2B-AS1,Bursitis,"Glaucoma, Glioma",192
chr9,22062134,rs1011970,115,0.02863,1.424,CDKN2B-AS1,Phosphorus metabolism disorder,Breast cancer,192
chr9,22098574,rs4977574,166,0.02906,1.281,CDKN2B-AS1,ASCVD,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,377,0.02922,1.185,CDKN2B-AS1,Strabismus (not specified as paralytic),Intracranial aneurysm,192
chr9,22068652,rs4977756,901,0.02956,1.117,CDKN2B-AS1,Obstructive sleep apnea,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,2732,0.02961,1.082,CDKN2B-AS1,Atopic or contact dermatitis,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22043926,rs1412829,191,0.029760000000000002,1.253,CDKN2B-AS1,Hydronephrosis,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22083404,rs1333040,308,0.03035,1.21,CDKN2B-AS1,Bladder neck obstruction,Intracranial aneurysm,192
chr9,22062134,rs1011970,144,0.03039,1.379,CDKN2B-AS1,Failure to thrive,Breast cancer,192
chr9,22043926,rs1412829,2796,0.03042,1.09,CDKN2B-AS1,Hemorrhoids,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,565,0.03064,1.147,CDKN2B-AS1,Occlusion of cerebral arteries,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22068652,rs4977756,476,0.03088,1.187,CDKN2B-AS1,First degree AV block,"Glaucoma, Glioma",192
chr9,22083404,rs1333040,967,0.03124,1.114,CDKN2B-AS1,Anal and rectal conditions,Intracranial aneurysm,192
chr9,22098574,rs4977574,1870,0.03126,1.091,CDKN2B-AS1,Peripheral vascular disease,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,338,0.03154,1.191,CDKN2B-AS1,Anal and rectal polyp,Intracranial aneurysm,192
chr9,22098574,rs4977574,506,0.03199,1.171,CDKN2B-AS1,Cardiac pacemaker in situ,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,642,0.032,1.14,CDKN2B-AS1,"stress incontinence, female",Abdominal aortic aneurysm,192
chr9,22115959,rs2383207,206,0.03201,1.242,CDKN2B-AS1,Other specified diseases of hair and hair follicles,Abdominal aortic aneurysm,192
chr9,22043926,rs1412829,2161,0.03238,1.078,CDKN2B-AS1,Skin cancer,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,481,0.03274,1.16,CDKN2B-AS1,Peripheral or central vertigo,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,310,0.03278,1.194,CDKN2B-AS1,Nephritis and nephropathy without mention of glomerulonephritis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,2106,0.03319,1.081,CDKN2B-AS1,Benign neoplasm of skin,Intracranial aneurysm,192
chr9,22098574,rs4977574,8134,0.0334,1.065,CDKN2B-AS1,Essential hypertension,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,188,0.03359,1.254,CDKN2B-AS1,Iatrogenic hypothyroidism,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,2041,0.03382,1.097,CDKN2B-AS1,Atrial fibrillation & flutter,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,192,0.03411,1.243,CDKN2B-AS1,Noninfectious disorders of lymphatic channels,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22068652,rs4977756,530,0.03455,1.151,CDKN2B-AS1,Other nonspecific findings on examination of urine,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,220,0.03521,1.254,CDKN2B-AS1,Disorders of penis,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22068652,rs4977756,1581,0.03544,1.103,CDKN2B-AS1,Other specified cardiac dysrhythmias,"Glaucoma, Glioma",192
chr9,22098574,rs4977574,8185,0.03612,1.064,CDKN2B-AS1,Hypertension,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,206,0.0363,1.235,CDKN2B-AS1,Other specified diseases of hair and hair follicles,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22043926,rs1412829,4527,0.03655,1.071,CDKN2B-AS1,Osteoarthrosis NOS,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,183,0.03658,1.249,CDKN2B-AS1,Streptococcus infection,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,119,0.03723,1.405,CDKN2B-AS1,Transient alteration of awareness,Breast cancer,192
chr9,22098574,rs4977574,227,0.03729,1.221,CDKN2B-AS1,Muscle weakness,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,127,0.03778,1.4,CDKN2B-AS1,Psychogenic disorder,Breast cancer,192
chr9,22115959,rs2383207,690,0.03786,1.126,CDKN2B-AS1,Protein-calorie malnutrition,Abdominal aortic aneurysm,192
chr9,22098574,rs4977574,270,0.03824,1.206,CDKN2B-AS1,Altered mental status,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,695,0.03862,1.131,CDKN2B-AS1,"Breast cancer, including in situ",Intracranial aneurysm,192
chr9,22083404,rs1333040,696,0.03878,1.126,CDKN2B-AS1,Abnormal heart sounds,Intracranial aneurysm,192
chr9,22068652,rs4977756,188,0.03919,1.253,CDKN2B-AS1,Other sprains and strains,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,513,0.0395,1.146,CDKN2B-AS1,Dyschromia and Vitiligo,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22083404,rs1333040,383,0.03986,1.192,CDKN2B-AS1,Calcaneal spur; Exostosis NOS,Intracranial aneurysm,192
chr9,22098574,rs4977574,261,0.03995,1.212,CDKN2B-AS1,Uveitis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22068652,rs4977756,599,0.04025,1.134,CDKN2B-AS1,Arthropathy NOS,"Glaucoma, Glioma",192
chr9,22098574,rs4977574,1950,0.04062,1.096,CDKN2B-AS1,Atrial fibrillation,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,2304,0.04072,1.095,CDKN2B-AS1,Macular degeneration,Abdominal aortic aneurysm,192
chr9,22083404,rs1333040,163,0.0408,1.262,CDKN2B-AS1,Loss of teeth or edentulism,Intracranial aneurysm,192
chr9,22115959,rs2383207,461,0.04114,1.151,CDKN2B-AS1,"Neuralgia, neuritis, and radiculitis NOS",Abdominal aortic aneurysm,192
chr9,22068652,rs4977756,1042,0.04123,1.104,CDKN2B-AS1,Other symptoms involving abdomen and pelvis,"Glaucoma, Glioma",192
chr9,22098574,rs4977574,340,0.04187,1.174,CDKN2B-AS1,"Mechanical complications of cardiac/vascular device, implant, and graft","Early onset myocardial infarction, Coronary heart disease",192
chr9,22062134,rs1011970,237,0.04201,1.267,CDKN2B-AS1,Disorders of parathyroid gland,Breast cancer,192
chr9,22098574,rs4977574,171,0.04212,1.251,CDKN2B-AS1,Calculus of bile duct,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22043926,rs1412829,1807,0.04293,1.083,CDKN2B-AS1,Chronic airway obstruction,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22098574,rs4977574,156,0.04335,1.272,CDKN2B-AS1,Acute cystitis,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22115959,rs2383207,117,0.04395,1.327,CDKN2B-AS1,Acute laryngitis and tracheitis,Abdominal aortic aneurysm,192
chr9,22068652,rs4977756,206,0.04407,1.227,CDKN2B-AS1,Other specified diseases of hair and hair follicles,"Glaucoma, Glioma",192
chr9,22068652,rs4977756,2341,0.04484,1.085,CDKN2B-AS1,"Disorders of synovium, tendon, and bursa","Glaucoma, Glioma",192
chr9,22115959,rs2383207,682,0.04487,1.124,CDKN2B-AS1,Hemorrhage of gastrointestinal tract,Abdominal aortic aneurysm,192
chr9,22068652,rs4977756,561,0.04516,1.136,CDKN2B-AS1,Rosacea,"Glaucoma, Glioma",192
chr9,22043926,rs1412829,245,0.04517,1.202,CDKN2B-AS1,Acute pancreatitis,"Nasopharyngeal carcinoma, High-grade glioma",192
chr9,22083404,rs1333040,1948,0.04528,1.078,CDKN2B-AS1,Gastrointestinal hemorrhage,Intracranial aneurysm,192
chr9,22062134,rs1011970,749,0.04717,1.19,CDKN2B-AS1,Age-related macular degeneration,Breast cancer,192
chr9,22068652,rs4977756,195,0.04726,1.23,CDKN2B-AS1,Pneumonitis due to inhalation of food or vomitus,"Glaucoma, Glioma",192
chr9,22115959,rs2383207,2841,0.04746,1.067,CDKN2B-AS1,Benign neoplasm of colon,Abdominal aortic aneurysm,192
chr9,22083404,rs1333040,330,0.04796,1.175,CDKN2B-AS1,Other diseases of the teeth and supporting structures,Intracranial aneurysm,192
chr9,22068652,rs4977756,4607,0.04806,1.068,CDKN2B-AS1,Peripheral enthesopathies,"Glaucoma, Glioma",192
chr9,22083404,rs1333040,1931,0.04812,1.076,CDKN2B-AS1,Non-melanoma skin cancer,Intracranial aneurysm,192
chr9,22068652,rs4977756,363,0.04867,1.165,CDKN2B-AS1,Diseases of blood and blood-forming organs,"Glaucoma, Glioma",192
chr9,22062134,rs1011970,249,0.04917,1.278,CDKN2B-AS1,Blindness and low vision,Breast cancer,192
chr9,22098574,rs4977574,239,0.04923,1.204,CDKN2B-AS1,Elevated white blood cell count,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22098574,rs4977574,3082,0.04977,1.065,CDKN2B-AS1,GERD,"Early onset myocardial infarction, Coronary heart disease",192
chr9,22083404,rs1333040,195,0.04981,1.226,CDKN2B-AS1,Pneumonitis due to inhalation of food or vomitus,Intracranial aneurysm,192
chr6,20679709,rs7756992,3122,3.835e-5,1.151,CDKAL1,Type 2 diabetes,Type 2 diabetes,189
chr6,20802863,rs2206734,3122,4.833e-5,1.172,CDKAL1,Type 2 diabetes,"Body mass index, Ileal carcinoids",189
chr6,20679709,rs7756992,3231,7.183e-5,1.143,CDKAL1,Diabetes mellitus,Type 2 diabetes,189
chr6,20802863,rs2206734,1112,1.031e-4,1.255,CDKAL1,Type 2 diabetic ketoacidosis,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,186,1.567e-4,1.58,CDKAL1,Abnormal weight gain,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,3231,1.819e-4,1.156,CDKAL1,Diabetes mellitus,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,437,2.243e-4,1.374,CDKAL1,Type 2 diabetic nephropathy,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,539,2.476e-4,1.334,CDKAL1,Polyneuropathy in diabetes,"Body mass index, Ileal carcinoids",189
chr6,20657564,rs4712523,186,3.47e-4,1.468,CDKAL1,Abnormal weight gain,Type 2 diabetes,189
chr6,20802863,rs2206734,644,4.586e-4,1.291,CDKAL1,Type 2 diabetic neuropathy,"Body mass index, Ileal carcinoids",189
chr6,20661250,rs7754840,186,4.859e-4,1.455,CDKAL1,Abnormal weight gain,"Type 2 diabetes, Gestational diabetes",189
chr6,20802863,rs2206734,253,5.348e-4,1.444,CDKAL1,Nephritis and nephropathy in diseases classified elsewhere,"Body mass index, Ileal carcinoids",189
chr6,20802863,rs2206734,153,5.623e-4,1.595,CDKAL1,Type 2 diabetic peripheral circulatory disorders,"Body mass index, Ileal carcinoids",189
